product_id,name,category,price,launch_date
105,Knapp-Sanchez Board Game,Toys & Games,2005.91,2024-02-13
106,"Davis, Murphy and Mitchell Printer Paper",Office Supplies,977.3,2024-11-23
107,Long PLC Protein Bar,Food & Beverages,372.29,2022-06-14
108,Hernandez-Miller Pasta,Food & Beverages,3823.2,2025-07-14
109,"Keller, Gibson and Moses Manual",Books,3403.59,2024-07-12
110,"Smith, Booker and Douglas Dress",Apparel,4875.54,2023-12-05
111,Meza-Cooke Skincare Cream,Health & Beauty,3975.51,2025-05-23
112,"Anderson, Boyer and Solis Stuffed Animal",Toys & Games,4695.05,2023-03-16
113,Yates-Manning Rug,Home & Garden,3014.3,2024-04-29
114,"James, Ross and Thompson Deodorant",Health & Beauty,206.07,2025-04-12
115,Davis-Phelps Tablet,Electronics,3569.39,2022-09-11
116,Chan-Mitchell Air Freshener,Automotive,2287.66,2025-03-15
117,"Moore, Evans and Owen Printer Paper",Office Supplies,703.21,2025-02-17
118,Mckee-Munoz Binder,Office Supplies,816.7,2023-07-12
119,"Davis, Richardson and Gonzalez Folder",Office Supplies,2970.65,2023-11-23
120,Alvarez-Hart Sauce,Food & Beverages,2664.04,2023-10-20
121,Avila LLC Folder,Office Supplies,2377.09,2024-08-11
122,Hamilton Group Smartwatch,Electronics,1659.54,2022-05-25
123,Palmer Group Hat,Apparel,2920.59,2024-11-16
124,Holland Ltd Keyboard,Electronics,2375.58,2022-08-29
125,Rose-Holland Whiteboard,Office Supplies,1141.58,2022-05-11
126,Mcdonald-Miller Keyboard,Electronics,2404.84,2025-05-30
127,Evans-Joyce Spice Set,Food & Beverages,3874.16,2024-11-29
128,Skinner-Mills Perfume,Health & Beauty,4109.2,2023-04-05
129,"Williams, Jones and Williams Tent",Sports & Outdoors,2864.99,2022-06-17
130,"Coleman, Davis and Guerrero Jacket",Apparel,99.59,2024-06-02
131,Kelly-Richards Video Game,Toys & Games,761.4,2025-04-09
132,"Smith, Yang and Ford Golf Clubs",Sports & Outdoors,2511.59,2025-05-06
133,Cameron Inc Desk Organizer,Office Supplies,4364.72,2022-05-10
134,Mcdowell-Evans Tablet,Electronics,2595.82,2024-07-01
135,"Gibson, Santiago and Hanson Energy Drink",Food & Beverages,4990.62,2023-02-16
136,Levy-Savage Air Freshener,Automotive,1887.24,2022-10-18
137,Lopez Ltd Candle,Home & Garden,4561.06,2024-07-27
138,Savage-Rodriguez Stuffed Animal,Toys & Games,1774.66,2024-04-10
139,Smith Inc Manual,Books,2423.48,2022-01-21
140,Rios Group Yoga Mat,Sports & Outdoors,2792.64,2024-12-10
141,Melton-Church Yoga Mat,Sports & Outdoors,3857.02,2024-07-23
142,"Tucker, Montgomery and Dickson Tennis Racket",Sports & Outdoors,1588.62,2023-07-15
143,"Nunez, Vaughn and Foster Stuffed Animal",Toys & Games,4668.83,2023-04-16
144,Martinez Inc Comic Book,Books,613.76,2022-10-24
145,Cabrera Ltd Cereal,Food & Beverages,4479.32,2022-10-20
146,Clark Ltd Skincare Cream,Health & Beauty,4773.27,2022-08-14
147,"Allen, Wilkinson and Garrison Curtains",Home & Garden,215.12,2024-04-16
148,Miller Group Boots,Apparel,4620.43,2022-08-19
149,Henderson-Wilson Dictionary,Books,1073.86,2022-08-25
150,"Park, Maynard and Ruiz Protein Bar",Food & Beverages,4665.45,2025-08-28
151,Richards-Harris Cookbook,Books,550.59,2024-06-03
152,Williams-Smith Paper Clips,Office Supplies,1216.08,2024-09-06
153,"Reynolds, Perry and Simpson Snack Mix",Food & Beverages,3191.53,2024-06-17
154,"Simon, Duarte and Johnson Laptop",Electronics,2069.44,2023-09-13
155,Palmer-Hardy Tire,Automotive,3407.55,2024-11-20
156,Hall-Brown Lamp,Home & Garden,4822.77,2022-01-30
157,Ray-Tran Plant Pot,Home & Garden,3266.2,2023-02-21
158,"Butler, Kennedy and Simpson Jump Starter",Automotive,3254.44,2024-09-30
159,West-Graham Guide,Books,1430.65,2022-09-08
160,Barber-Harrison Laptop,Electronics,3263.23,2023-11-12
161,Romero PLC Basketball,Sports & Outdoors,3694.74,2024-11-30
162,Dorsey-Castaneda Tablet,Electronics,2092.34,2025-01-16
163,"Mcdonald, Ware and Sharp Lamp",Home & Garden,4985.87,2023-08-30
164,Whitaker-Nunez Toothbrush,Health & Beauty,935.63,2025-02-15
165,Flynn-Marsh Novel,Books,51.29,2025-08-04
166,Howell LLC Whiteboard,Office Supplies,540.97,2024-12-08
167,"Miller, Webb and Thompson LEGO Set",Toys & Games,2274.47,2022-08-31
168,"Vasquez, Leon and Hahn Sauce",Food & Beverages,2472.09,2024-02-06
169,Young-Hawkins Picture Frame,Home & Garden,2342.76,2022-01-29
170,Ibarra-Kelly Backpack,Sports & Outdoors,1656.77,2022-09-04
171,Clayton PLC Car Mat,Automotive,3594.4,2022-02-19
172,Morgan Inc Smartwatch,Electronics,3954.88,2024-08-17
173,Martinez and Sons Paper Clips,Office Supplies,881.6,2024-01-26
174,Chaney-Glover Hairbrush,Health & Beauty,2578.83,2025-04-10
175,Carrillo PLC Hat,Apparel,3347.93,2023-02-20
176,Castaneda PLC Table,Home & Garden,2389.88,2024-07-27
177,"Garcia, Williams and Shah Tent",Sports & Outdoors,1307.62,2025-05-26
178,Estes-Campos Tennis Racket,Sports & Outdoors,3770.01,2022-06-14
179,"Lynch, Garrison and Garcia LEGO Set",Toys & Games,2914.39,2024-05-23
180,Romero and Sons Pen Set,Office Supplies,1311.46,2024-09-05
181,Pitts LLC Doll,Toys & Games,315.31,2022-09-01
182,"Carter, Alexander and Hunter Sunglasses",Apparel,1537.5,2025-02-11
183,Moore LLC Deodorant,Health & Beauty,4615.91,2023-06-04
184,Martinez and Sons Biography,Books,3195.36,2023-11-14
185,Hammond-Smith Guide,Books,3075.05,2025-07-20
186,Peterson-Wagner Bicycle,Sports & Outdoors,2393.52,2022-05-13
187,Watson-Fischer Cleaning Kit,Automotive,1871.26,2023-07-15
188,"Ortega, Hernandez and Molina Pasta",Food & Beverages,3787.97,2023-10-18
189,Taylor Group Dumbbells,Sports & Outdoors,3403.31,2023-10-05
190,Villanueva-Crane Notebook,Office Supplies,2629.91,2024-03-12
191,"Cox, Johnson and Thomas Energy Drink",Food & Beverages,395.12,2022-01-16
192,"Drake, Acevedo and Miller Notebook",Office Supplies,313.48,2023-05-05
193,Holden-Martin Sauce,Food & Beverages,1014.77,2022-04-06
194,Malone-Keller Chocolate,Food & Beverages,826.86,2024-09-23
195,Orr Inc Pasta,Food & Beverages,585.62,2024-09-08
196,"Lloyd, Liu and Kaufman Soccer Ball",Sports & Outdoors,2446.7,2023-10-14
197,Blackwell-Haynes Pasta,Food & Beverages,4044.42,2023-04-18
198,"Newton, Blankenship and Smith Oil Filter",Automotive,2568.67,2023-03-11
199,"Bishop, Thomas and Powell Cleaning Kit",Automotive,293.4,2024-09-27
200,Clay PLC Car Mat,Automotive,3617.78,2025-05-09
201,"Pearson, Terry and Barron Vitamins",Health & Beauty,4083.18,2025-04-29
202,"Sullivan, Gonzalez and Turner Soccer Ball",Sports & Outdoors,369.78,2022-02-27
203,"Cook, Hardy and Singh Skincare Cream",Health & Beauty,3503.42,2022-07-15
204,"Braun, Campbell and Davis Coffee Beans",Food & Beverages,4673.24,2024-05-07
205,Boyd-Sherman Sunglasses,Apparel,163.52,2022-09-06
206,Johnson PLC Perfume,Health & Beauty,3846.02,2024-07-09
207,Allen-Schroeder Skincare Cream,Health & Beauty,4964.32,2025-02-02
208,Benitez-Rodriguez Toothbrush,Health & Beauty,4348.75,2022-04-04
209,Green-Romero Hairbrush,Health & Beauty,405.85,2022-07-12
210,Sherman Inc Chocolate,Food & Beverages,3269.4,2023-11-29
211,Armstrong-Smith Action Figure,Toys & Games,896.48,2023-06-11
212,Trujillo PLC Cereal,Food & Beverages,2646.57,2024-05-28
213,"Kline, Burton and Ferguson Tent",Sports & Outdoors,3782.12,2024-07-14
214,Bell LLC Dictionary,Books,3369.13,2024-11-02
215,"Armstrong, Taylor and Gray Cereal",Food & Beverages,2662.01,2025-02-19
216,Garcia PLC Dumbbells,Sports & Outdoors,2305.82,2024-06-23
217,Carson LLC Curtains,Home & Garden,946.46,2023-12-07
218,Thomas Group T-Shirt,Apparel,4048.34,2025-07-10
219,Miller-Brown Face Mask,Health & Beauty,3831.44,2022-07-22
220,Lewis-Miller Headphones,Electronics,1034.38,2024-11-17
221,"Powell, Hansen and Maxwell Wallet",Apparel,172.71,2023-02-14
222,"Porter, Henderson and Alexander Pen Set",Office Supplies,1227.45,2024-01-31
223,"Mcpherson, Colon and Thomas Camera",Electronics,2197.62,2022-07-17
224,Dawson-Anderson Snack Mix,Food & Beverages,3773.16,2024-12-30
225,"Boyer, Wilson and Lewis Tablet",Electronics,2521.96,2024-01-06
226,Francis PLC Textbook,Books,4079.85,2023-07-28
227,Guzman Group Binder,Office Supplies,2889.49,2022-06-21
228,Wood LLC Doll,Toys & Games,1512.31,2022-03-04
229,"Hernandez, Watson and Ritter Picture Frame",Home & Garden,1109.11,2023-04-17
230,Tucker-Moody Comic Book,Books,309.48,2022-08-09
231,"Fisher, Zuniga and Torres Stapler",Office Supplies,3131.84,2023-03-17
232,White Ltd Deodorant,Health & Beauty,2480.63,2024-01-30
233,Martinez LLC Video Game,Toys & Games,3930.09,2022-04-15
234,Butler PLC Video Game,Toys & Games,2044.25,2023-04-27
235,"Chavez, Morgan and Bennett Atlas",Books,923.48,2025-07-20
236,"Bass, Anderson and Taylor Pasta",Food & Beverages,1208.64,2024-09-15
237,Gill-Contreras Yoga Mat,Sports & Outdoors,4288.42,2022-08-20
238,"Nguyen, Marsh and Beck Candle",Home & Garden,4574.13,2023-09-29
239,Hall-Foster Cereal,Food & Beverages,4839.09,2024-04-20
240,Rubio Group Sauce,Food & Beverages,674.79,2025-02-17
241,Brewer-Cline Yoga Mat,Sports & Outdoors,1020.67,2025-01-03
242,Armstrong Ltd Sunglasses,Apparel,4236.43,2023-04-25
243,"Brewer, Schneider and Miller Belt",Apparel,3624.3,2024-08-19
244,"Ray, Brown and Hudson Tent",Sports & Outdoors,1345.97,2022-10-22
245,Shaw-Smith Whiteboard,Office Supplies,202.54,2024-10-19
246,"White, Smith and Buchanan Jacket",Apparel,4024.23,2023-01-17
247,"Combs, Riley and Miller Printer Paper",Office Supplies,1089.0,2024-04-08
248,"Flores, Chapman and Henry Running Shoes",Sports & Outdoors,1519.42,2022-02-06
249,Kim-Perry Headphones,Electronics,4686.11,2025-08-28
250,"Stewart, Scott and Wilson Sunglasses",Apparel,4572.63,2022-06-04
251,"Jackson, Thomas and Scott Paper Clips",Office Supplies,1986.18,2022-05-20
252,Parker Group Basketball,Sports & Outdoors,1611.47,2024-11-20
253,Brown LLC Atlas,Books,2333.92,2022-10-09
254,Reeves LLC LEGO Set,Toys & Games,1311.5,2023-08-29
255,Flores Group Pasta,Food & Beverages,2332.69,2023-05-19
256,Bennett-Carey Phone Mount,Automotive,4572.08,2022-07-07
257,Harris PLC RC Car,Toys & Games,2072.58,2024-06-29
258,Vasquez PLC Paper Clips,Office Supplies,3707.56,2023-08-22
259,Adams LLC Speaker,Electronics,2768.79,2023-12-24
260,"Russell, Washington and Russell Whiteboard",Office Supplies,3601.46,2022-12-30
261,Adams PLC Cookbook,Books,984.98,2024-11-14
262,Sanchez PLC Golf Clubs,Sports & Outdoors,2851.1,2024-10-09
263,Torres Group Tennis Racket,Sports & Outdoors,2755.46,2023-11-24
264,Mathis PLC LEGO Set,Toys & Games,3817.99,2022-11-13
265,Brooks and Sons Jump Starter,Automotive,2306.84,2025-04-29
266,Medina Group Puzzle,Toys & Games,704.09,2024-05-12
267,Williams-Hess Pasta,Food & Beverages,924.32,2025-07-12
268,"Roberts, Stanton and Smith Coffee Beans",Food & Beverages,2622.1,2024-01-20
269,Harper-Franco T-Shirt,Apparel,3822.87,2023-08-14
270,Kirby-Lewis Perfume,Health & Beauty,4213.51,2025-07-29
271,"Campbell, Martin and Ferguson Backpack",Sports & Outdoors,3537.31,2022-04-19
272,Davis-Hale Headphones,Electronics,2531.14,2025-07-14
273,Hardy LLC Board Game,Toys & Games,3091.09,2023-11-03
274,Bishop LLC Desk Organizer,Office Supplies,3298.13,2024-11-25
275,Reid-Petty Smartphone,Electronics,2663.4,2025-01-04
276,Nelson-Bates Shampoo,Health & Beauty,88.55,2023-05-15
277,Clark-Haley Encyclopedia,Books,4887.51,2023-05-26
278,Sloan and Sons Monitor,Electronics,4066.72,2024-10-01
279,Lynch Inc Perfume,Health & Beauty,539.55,2022-01-15
280,"Thompson, Peters and Horton Belt",Apparel,748.74,2024-01-30
281,Medina-Cobb Soccer Ball,Sports & Outdoors,2634.65,2024-10-05
282,"Jones, Johnson and Collier LEGO Set",Toys & Games,3975.71,2024-11-09
283,Chambers-Gomez Boots,Apparel,4796.69,2025-06-16
284,Carey-Howard Cleaning Kit,Automotive,1219.82,2022-10-03
285,"Terrell, Martinez and Wood Yoga Mat",Sports & Outdoors,3421.79,2022-10-27
286,Smith-Paul T-Shirt,Apparel,472.04,2025-03-24
287,Becker-Fletcher Hairbrush,Health & Beauty,2765.74,2022-10-25
288,Velasquez Ltd Mouse,Electronics,52.2,2023-04-16
289,"Walker, Baird and Coffey Chair",Home & Garden,2501.79,2022-02-27
290,Vasquez-Padilla Skincare Cream,Health & Beauty,2831.45,2024-07-30
291,Smith Ltd Belt,Apparel,4596.17,2023-09-08
292,Kane PLC Dumbbells,Sports & Outdoors,4506.86,2024-02-17
293,Jackson-Lee Desk Organizer,Office Supplies,1359.12,2025-02-21
294,"Chambers, Morrison and Thompson Sneakers",Apparel,4497.06,2024-07-02
295,Reese and Sons Pen Set,Office Supplies,900.88,2023-02-08
296,"Foley, Ibarra and Daniel Board Game",Toys & Games,4807.54,2023-03-03
297,Abbott Inc Stapler,Office Supplies,3762.51,2024-12-12
298,"Patel, King and Castro Lotion",Health & Beauty,1499.89,2023-12-07
299,Pace Ltd Paper Clips,Office Supplies,2835.65,2024-11-11
300,"Williams, Mcmillan and Reynolds Deodorant",Health & Beauty,1661.99,2023-09-25
301,Martinez-Holmes Chair,Home & Garden,2506.46,2024-02-09
302,Holmes-Williams Board Game,Toys & Games,492.94,2025-01-25
303,Williams Group Backpack,Sports & Outdoors,1706.26,2024-04-07
304,Stewart-Myers Whiteboard,Office Supplies,1986.53,2023-06-04
305,Beard Inc Board Game,Toys & Games,3172.44,2025-02-19
306,Spence Group Jump Starter,Automotive,1144.55,2022-04-26
307,Gonzalez LLC Cereal,Food & Beverages,2162.08,2023-04-28
308,Garrett Inc Calculator,Office Supplies,433.04,2022-02-13
309,Reynolds-Johnson Folder,Office Supplies,3991.29,2025-05-23
310,"Mcconnell, Pittman and Wright Jeans",Apparel,1343.52,2024-01-06
311,Benjamin Inc Perfume,Health & Beauty,3699.58,2025-06-30
312,Stone-Young RC Car,Toys & Games,537.22,2022-04-24
313,"Harvey, Duran and Garrett Speaker",Electronics,2226.46,2024-06-18
314,Miller Inc Biography,Books,666.87,2022-02-21
315,Edwards-Abbott Plant Pot,Home & Garden,2246.97,2022-04-12
316,Brown Group Sauce,Food & Beverages,2043.18,2022-03-27
317,Bishop-Reynolds Laptop,Electronics,1772.8,2022-06-08
318,"Brown, Williams and Horn Wallet",Apparel,2992.23,2023-09-16
319,Williamson Group Video Game,Toys & Games,66.64,2022-12-29
320,"Cobb, Hanson and Chavez Hairbrush",Health & Beauty,3896.95,2023-12-23
321,Hobbs-Harvey Snack Mix,Food & Beverages,2861.94,2023-06-12
322,"Pace, Logan and Gibson Plant Pot",Home & Garden,851.66,2023-05-25
323,"Lee, Garcia and Larson Comic Book",Books,1345.69,2022-04-15
324,"Clarke, Lee and Berry Chair",Home & Garden,840.2,2024-09-17
325,"Scott, Fisher and Hardy Atlas",Books,1502.26,2023-11-22
326,Sanchez Inc Boots,Apparel,1262.24,2022-04-04
327,Collins Group Tennis Racket,Sports & Outdoors,2971.06,2024-03-08
328,"Webster, Collins and Mcclure Tennis Racket",Sports & Outdoors,539.33,2025-04-19
329,Hernandez LLC Novel,Books,4744.37,2024-07-26
330,Carter-Cordova Building Blocks,Toys & Games,1902.55,2024-03-15
331,"Sandoval, Thomas and Young Card Game",Toys & Games,1677.01,2025-06-26
332,"Trevino, Henderson and Gonzalez Stapler",Office Supplies,1505.67,2022-11-08
333,"Kerr, Glover and Peterson Paper Clips",Office Supplies,2397.65,2024-11-03
334,Neal-Holden Plant Pot,Home & Garden,4843.78,2024-07-20
335,"Rivera, Lane and Mccarty Dictionary",Books,4838.98,2024-08-15
336,Barnes-Martin Running Shoes,Sports & Outdoors,1883.4,2023-12-07
337,Crawford Inc Skincare Cream,Health & Beauty,573.87,2024-09-19
338,Steele Group Paper Clips,Office Supplies,2963.17,2024-08-27
339,Allen Ltd Chocolate,Food & Beverages,3410.15,2025-04-08
340,Aguirre-Bennett Coffee Beans,Food & Beverages,4765.26,2023-09-14
341,Mckenzie Inc Brake Pad,Automotive,2195.08,2023-07-18
342,Jones Inc Biography,Books,4095.73,2024-05-11
343,Thomas Group Toothbrush,Health & Beauty,700.2,2022-10-29
344,"Willis, Cannon and Williams Textbook",Books,1267.15,2022-02-16
345,Gonzalez and Sons Plant Pot,Home & Garden,3946.44,2022-12-07
346,Higgins-Morgan Sunglasses,Apparel,4953.55,2024-05-11
347,White Inc Cleaning Kit,Automotive,2007.02,2022-10-01
348,Lozano-Smith Cereal,Food & Beverages,2720.51,2024-11-18
349,Gray Inc Stuffed Animal,Toys & Games,2971.13,2023-06-10
350,Torres and Sons Jeans,Apparel,3845.93,2023-07-29
351,Guerrero-Pugh Puzzle,Toys & Games,3236.76,2025-05-26
352,"Keith, Johns and Jones Keyboard",Electronics,4918.12,2022-08-13
353,Norton and Sons Skincare Cream,Health & Beauty,4828.76,2024-04-07
354,Benson-Stewart Lotion,Health & Beauty,57.69,2023-10-30
355,"Sanchez, Williams and Jensen Textbook",Books,2555.83,2022-10-21
356,"Phillips, Hernandez and Wright Sauce",Food & Beverages,2904.69,2024-09-04
357,Salas-York Paper Clips,Office Supplies,2231.66,2024-06-26
358,Clark-Miller Toothbrush,Health & Beauty,3862.85,2024-01-02
359,"Mendez, Jackson and Hughes Printer Paper",Office Supplies,757.97,2024-09-29
360,"Brooks, Stone and White TV",Electronics,527.22,2025-01-11
361,Fox-Webb Lotion,Health & Beauty,584.77,2024-02-08
362,Adams-Morales Vase,Home & Garden,1562.89,2025-05-13
363,"Santos, Clark and Jacobson Brake Pad",Automotive,2607.97,2023-12-04
364,Foster LLC Card Game,Toys & Games,492.63,2023-10-23
365,Duncan-Walls Phone Mount,Automotive,340.54,2023-08-05
366,Pierce-Taylor Laptop,Electronics,117.81,2022-05-11
367,Wallace-Bell Action Figure,Toys & Games,3387.31,2024-06-26
368,Marshall PLC Rug,Home & Garden,2582.39,2023-06-07
369,Hayes-Reynolds Chocolate,Food & Beverages,1658.29,2023-07-25
370,Stewart-Reyes Toothbrush,Health & Beauty,1163.12,2022-10-06
371,Hall-Brewer Perfume,Health & Beauty,936.0,2023-07-12
372,Phillips PLC Hairbrush,Health & Beauty,150.82,2024-03-07
373,"Schneider, Hartman and House Paper Clips",Office Supplies,2250.63,2022-06-02
374,Jones Inc Hairbrush,Health & Beauty,27.23,2024-04-28
375,Cook Ltd Dumbbells,Sports & Outdoors,1395.33,2023-05-27
376,Turner-Ochoa Wallet,Apparel,513.25,2024-11-27
377,Lee-Munoz Chocolate,Food & Beverages,1832.14,2022-08-03
378,"Singh, Gaines and Smith Tennis Racket",Sports & Outdoors,574.21,2023-04-11
379,Short-Logan Air Freshener,Automotive,4829.75,2023-09-20
380,Underwood-Todd Building Blocks,Toys & Games,1946.25,2022-01-19
381,Valdez-Hays Face Mask,Health & Beauty,575.59,2022-08-20
382,Perez-Cummings Card Game,Toys & Games,3088.73,2022-11-23
383,Hall-Matthews Manual,Books,2952.89,2024-05-08
384,Sharp-Murray Vase,Home & Garden,593.72,2025-05-15
385,Edwards and Sons Biography,Books,919.31,2023-10-29
386,"Butler, Gonzales and Farrell Picture Frame",Home & Garden,1945.37,2022-02-16
387,Taylor-Russo Stapler,Office Supplies,2876.16,2023-04-20
388,"Smith, Cochran and Flowers Perfume",Health & Beauty,2435.92,2023-06-12
389,Barnes Ltd Chocolate,Food & Beverages,2776.79,2025-03-15
