shipment_id,order_id,shipment_date,carrier,tracking_number,shipment_cost
105,1240,2025-10-18,DHL,DH8044106606,40.98
106,717,2025-08-17,DHL,DH9619516877,7.25
107,342,2024-06-16,DHL,DH7288979783,18.78
108,1384,2025-05-04,OnTrac,ON8569945568,27.34
109,762,2024-11-20,Amazon Logistics,AM5041548888,23.89
110,504,2025-06-12,DHL,DH9119749018,24.2
111,86,2025-10-24,USPS,US8979623823,6.49
112,1020,2025-10-26,FedEx,FE6811105048,36.46
113,1201,2025-09-23,FedEx,FE9751575923,38.26
114,698,2025-02-20,Amazon Logistics,AM7289563278,8.56
115,1591,2025-03-05,Amazon Logistics,AM8087013251,11.18
116,1742,2025-10-06,DHL,DH6251628992,14.26
117,1741,2025-09-20,USPS,US7844307229,37.36
118,449,2024-08-22,USPS,US2502227409,12.27
119,406,2025-09-17,DHL,DH6181319988,18.49
120,197,2025-08-08,USPS,US7932427348,46.23
121,1554,2025-10-23,Amazon Logistics,AM8573962964,32.53
122,899,2025-05-17,USPS,US2866698147,18.43
123,855,2024-03-16,USPS,US6245901617,36.91
124,1973,2025-10-30,UPS,UP5815999549,30.62
125,1511,2025-10-12,Amazon Logistics,AM3609024939,42.52
126,661,2024-09-12,USPS,US7778829853,17.83
127,1450,2025-09-02,USPS,US9061968985,16.87
128,1347,2025-10-28,OnTrac,ON1735888343,15.1
129,1487,2024-10-08,USPS,US7444616725,10.77
130,1825,2025-09-30,DHL,DH9305425360,9.49
131,399,2025-08-16,UPS,UP5154685831,49.9
132,1929,2025-06-16,Amazon Logistics,AM2913592893,7.75
133,432,2025-06-07,UPS,UP8990448505,39.28
134,1227,2024-02-18,USPS,US2493564807,17.92
135,1788,2024-04-25,DHL,DH6886441790,26.27
136,1473,2025-10-12,FedEx,FE1539709649,16.0
137,111,2025-10-25,USPS,US6602298084,46.8
138,365,2025-09-15,OnTrac,ON3623960525,30.5
139,74,2025-10-21,FedEx,FE9051524409,9.8
140,1959,2024-12-25,UPS,UP9004850270,20.0
141,988,2025-09-26,USPS,US7850067386,13.56
142,1468,2024-12-05,USPS,US8900948338,48.37
143,1407,2025-10-24,DHL,DH5590393752,36.76
144,1400,2025-10-23,USPS,US6107371396,36.31
145,997,2025-07-22,DHL,DH1950421580,8.26
146,1380,2024-05-18,Amazon Logistics,AM2593375387,44.83
147,755,2025-09-13,FedEx,FE2749751144,46.98
148,1874,2025-03-24,FedEx,FE2067991032,18.95
149,742,2025-08-22,FedEx,FE6433662484,14.36
150,260,2025-07-04,UPS,UP2293892506,34.85
151,1807,2025-10-26,Amazon Logistics,AM8121196375,40.16
152,1375,2025-09-12,UPS,UP9730249190,40.62
153,1630,2024-02-10,USPS,US4853386221,30.61
154,713,2025-10-06,DHL,DH5120004493,11.88
155,1644,2025-10-16,UPS,UP9470873397,24.72
156,726,2024-11-15,UPS,UP7295632688,13.47
157,95,2025-02-08,USPS,US2368105846,11.98
158,1367,2025-10-07,USPS,US5068404283,12.35
159,1413,2024-09-11,Amazon Logistics,AM9350791048,24.0
160,878,2025-10-17,FedEx,FE1684974506,14.05
161,1329,2024-10-24,FedEx,FE2004047906,11.13
162,332,2024-09-12,USPS,US5258488042,14.7
163,31,2025-06-01,FedEx,FE1094345687,13.88
164,1027,2025-03-28,DHL,DH2893965515,38.03
165,298,2023-10-04,OnTrac,ON9164319224,40.25
166,932,2025-08-19,UPS,UP2833384789,39.92
167,1525,2025-06-24,Amazon Logistics,AM8790343565,16.21
168,1893,2024-12-08,UPS,UP6040405160,33.88
169,528,2025-08-29,UPS,UP4880552427,45.96
170,1857,2025-03-11,Amazon Logistics,AM3094381758,15.57
171,543,2025-10-29,USPS,US1566119589,10.72
172,755,2025-10-05,DHL,DH4309584310,9.09
173,1812,2025-10-07,FedEx,FE5112911537,34.79
174,326,2025-10-29,USPS,US2603310794,24.77
175,1824,2025-10-17,DHL,DH9234930973,33.9
176,1729,2024-08-24,DHL,DH6413591995,9.76
177,1976,2025-03-30,Amazon Logistics,AM2132624359,22.38
178,1607,2025-03-02,Amazon Logistics,AM2892818922,40.49
179,1198,2025-09-18,OnTrac,ON5932073933,27.76
180,161,2023-07-17,FedEx,FE5963057354,31.95
181,1470,2025-02-07,OnTrac,ON6769180930,22.74
182,1360,2025-04-14,USPS,US8355610591,46.17
183,1829,2025-09-30,OnTrac,ON6357565508,16.21
184,468,2025-07-22,DHL,DH5039367682,40.75
185,248,2025-10-22,FedEx,FE1363080786,49.07
186,295,2025-10-29,Amazon Logistics,AM3205520418,15.61
187,896,2025-01-10,OnTrac,ON7669220569,41.33
188,1876,2025-10-27,Amazon Logistics,AM9804668445,46.23
189,185,2025-09-04,DHL,DH4672445067,43.83
190,1236,2025-06-03,USPS,US3978929005,40.91
191,566,2025-07-14,Amazon Logistics,AM5943724655,9.66
192,1552,2025-01-23,Amazon Logistics,AM2524540068,31.92
193,1857,2025-04-20,UPS,UP3121678427,12.77
194,345,2025-10-18,DHL,DH9355199361,38.68
195,627,2025-10-16,FedEx,FE7689653425,13.18
196,50,2025-10-30,USPS,US8976420044,11.73
197,277,2024-09-19,DHL,DH6051515351,35.56
198,1716,2025-10-15,USPS,US8069726553,43.25
199,482,2025-10-07,FedEx,FE9596410216,29.28
200,489,2025-08-16,FedEx,FE9487551059,18.25
201,1131,2025-08-23,UPS,UP9256853995,5.53
202,1187,2024-02-08,UPS,UP4455041287,5.46
203,953,2025-10-03,Amazon Logistics,AM8228930583,39.47
204,1711,2025-10-30,USPS,US9896472582,39.47
205,800,2025-07-23,FedEx,FE7219950362,16.58
206,1768,2025-07-28,FedEx,FE7001190085,33.56
207,527,2024-12-10,FedEx,FE6654463618,15.49
208,464,2025-04-27,DHL,DH9251842917,26.34
209,2000,2025-08-29,FedEx,FE1659754058,23.83
210,1003,2025-06-12,USPS,US3331037452,11.38
211,1513,2025-09-08,FedEx,FE9709235741,21.6
212,1829,2025-09-25,FedEx,FE2227662866,8.21
213,1945,2025-09-29,DHL,DH1937876143,11.82
214,824,2025-02-22,USPS,US2727535486,24.62
215,1185,2025-08-31,OnTrac,ON2754947472,42.2
216,1825,2025-09-09,USPS,US5097207058,6.92
217,960,2025-05-22,UPS,UP3209211183,34.08
218,1397,2025-10-09,USPS,US1417024330,14.21
219,258,2024-12-16,FedEx,FE1173720701,17.27
220,1361,2025-05-29,FedEx,FE1674455554,41.85
221,207,2023-10-12,FedEx,FE4652885723,9.25
222,432,2025-07-11,UPS,UP4794327780,37.01
223,1370,2025-07-09,FedEx,FE9030430078,29.45
224,1365,2024-06-20,DHL,DH9553143673,18.41
225,24,2025-03-21,UPS,UP6698204494,30.03
226,154,2025-09-27,DHL,DH1004123145,40.76
227,443,2023-03-05,Amazon Logistics,AM7433122359,33.72
228,1228,2025-03-24,FedEx,FE8867986271,28.44
229,1955,2025-07-09,OnTrac,ON9417116826,33.7
230,715,2025-10-20,DHL,DH8511615755,39.88
231,294,2025-07-02,Amazon Logistics,AM1555344321,18.33
232,451,2025-10-14,UPS,UP3622142013,37.17
233,1117,2025-10-16,FedEx,FE1768995333,13.7
234,43,2024-09-15,USPS,US3964287698,7.05
235,416,2025-10-30,Amazon Logistics,AM5177200371,17.66
236,1240,2025-09-29,Amazon Logistics,AM4718759226,9.05
237,1540,2025-01-01,DHL,DH8560651734,31.47
238,1490,2025-02-11,Amazon Logistics,AM3999214187,9.99
239,1395,2025-08-09,UPS,UP1244869229,44.38
240,1065,2025-10-14,DHL,DH9679857324,35.97
241,426,2025-06-26,OnTrac,ON1009152377,5.24
242,490,2024-11-09,OnTrac,ON2445946088,29.48
243,471,2025-10-27,UPS,UP5311497955,33.43
244,845,2025-04-08,FedEx,FE2160297425,44.88
245,583,2025-10-23,Amazon Logistics,AM4048500685,47.09
246,1403,2023-10-27,OnTrac,ON1268211135,25.3
247,1360,2025-02-08,OnTrac,ON2856265751,42.02
248,1911,2025-06-26,DHL,DH5009619919,43.6
249,443,2025-09-30,Amazon Logistics,AM5122045743,14.65
250,1234,2025-10-31,DHL,DH9947713046,20.13
251,278,2025-04-29,OnTrac,ON8593345998,12.97
252,1166,2024-10-31,UPS,UP6359398315,29.85
253,1957,2024-02-21,UPS,UP1319483688,11.98
254,1291,2024-05-28,FedEx,FE3614663568,9.46
255,1375,2025-10-22,Amazon Logistics,AM6256205686,45.4
256,1182,2025-09-10,OnTrac,ON4677086142,28.78
257,844,2025-07-19,OnTrac,ON4007839611,23.27
258,1230,2025-08-02,DHL,DH2656323007,34.28
259,1065,2025-07-31,OnTrac,ON8401739069,42.15
260,421,2024-05-09,UPS,UP3244750381,43.53
261,672,2025-06-20,FedEx,FE4308518686,32.95
262,1195,2025-06-18,Amazon Logistics,AM2759869561,25.73
263,1283,2025-10-29,OnTrac,ON5770287032,48.65
264,1058,2025-10-27,Amazon Logistics,AM3762744182,29.35
265,766,2025-09-26,USPS,US8132828942,13.02
266,1684,2024-07-09,UPS,UP6973394281,21.59
267,1003,2025-04-24,Amazon Logistics,AM9031063171,30.86
268,239,2023-11-06,FedEx,FE6685131324,14.19
269,1543,2024-08-27,Amazon Logistics,AM5992932347,19.68
270,1505,2025-07-19,USPS,US8177588181,33.27
271,26,2025-05-28,DHL,DH8465400975,44.9
272,1462,2025-08-06,Amazon Logistics,AM5391495878,17.07
273,1215,2025-05-05,FedEx,FE7064518450,31.56
274,780,2024-08-16,UPS,UP8578340270,30.83
275,996,2025-10-08,DHL,DH9682678771,5.17
276,1964,2025-10-30,Amazon Logistics,AM7258988525,35.87
277,1274,2025-08-05,USPS,US7696498138,35.85
278,1439,2025-10-26,USPS,US7037126743,8.39
279,1298,2025-10-29,FedEx,FE8932718217,10.06
280,1183,2025-08-04,FedEx,FE2474731513,22.94
281,1466,2025-10-17,Amazon Logistics,AM6930579497,39.94
282,1360,2025-05-17,UPS,UP6434083257,19.22
283,1990,2025-09-23,Amazon Logistics,AM8757585120,44.41
284,845,2025-02-01,FedEx,FE1134857828,22.93
285,1173,2025-10-29,UPS,UP6998813562,18.04
286,1505,2024-07-31,UPS,UP3338026463,17.18
287,645,2025-09-28,USPS,US3233741461,39.66
288,6,2024-01-15,Amazon Logistics,AM5471700951,26.71
289,1669,2024-05-23,Amazon Logistics,AM3366807148,32.85
290,1860,2025-07-18,DHL,DH5272820152,29.9
291,1049,2025-06-29,FedEx,FE1062572910,46.65
292,1142,2025-08-09,USPS,US4930747947,7.13
293,532,2025-10-20,UPS,UP8214072080,37.41
294,1929,2025-07-02,OnTrac,ON2732147710,31.65
295,1959,2025-10-18,Amazon Logistics,AM1873191606,46.0
296,918,2024-11-21,DHL,DH2257497047,30.11
297,1937,2025-05-05,Amazon Logistics,AM9549250209,24.44
298,1438,2024-08-05,UPS,UP9673710819,10.32
299,1208,2023-11-01,FedEx,FE1149977994,10.08
300,1897,2025-07-23,FedEx,FE7132039885,44.99
301,298,2024-09-18,UPS,UP6286787774,46.35
302,776,2025-10-04,USPS,US5480792737,26.78
303,1666,2025-10-25,USPS,US9395338827,30.14
304,1008,2025-06-16,USPS,US6002926903,47.3
305,960,2025-08-14,FedEx,FE1541363532,19.56
306,894,2025-07-16,Amazon Logistics,AM7860594026,44.25
307,336,2025-08-27,USPS,US9299761864,39.57
308,461,2025-06-20,FedEx,FE5328959389,15.62
309,1591,2024-12-17,OnTrac,ON8129244193,24.78
310,77,2025-08-22,USPS,US7437743422,26.62
311,980,2024-12-08,USPS,US7619334263,35.81
312,844,2024-07-24,USPS,US3565331243,32.04
313,845,2025-06-17,FedEx,FE6262297731,5.27
314,204,2025-05-09,FedEx,FE6529640931,37.79
315,551,2025-10-20,UPS,UP1242049785,38.35
316,991,2025-06-19,FedEx,FE3827858163,47.59
317,173,2025-10-30,OnTrac,ON8641316784,15.66
318,1959,2025-09-19,OnTrac,ON9460701413,27.26
319,1073,2024-07-21,USPS,US8194528779,29.94
320,430,2025-09-27,FedEx,FE2311141183,35.66
321,896,2025-07-27,FedEx,FE2342726255,23.27
322,1282,2025-10-22,USPS,US7396295242,32.67
323,1150,2025-10-26,UPS,UP5530070060,46.23
324,1354,2025-05-10,OnTrac,ON5497533469,18.88
325,237,2025-06-12,USPS,US7220129939,18.83
326,1207,2025-08-05,FedEx,FE8579267656,33.74
327,917,2025-09-06,FedEx,FE6572991131,44.32
328,1849,2025-07-19,OnTrac,ON2270436719,42.5
329,1182,2025-10-09,UPS,UP7747720341,13.97
330,737,2025-10-30,Amazon Logistics,AM1872627976,20.0
331,1254,2025-08-09,Amazon Logistics,AM3294868026,15.0
332,305,2025-10-01,Amazon Logistics,AM6230296253,8.74
333,1977,2024-01-23,UPS,UP3956573197,15.78
334,1612,2024-09-12,Amazon Logistics,AM5210798990,24.22
335,95,2025-09-03,Amazon Logistics,AM5588388195,40.75
336,1228,2025-05-29,Amazon Logistics,AM3041045082,5.43
337,1407,2025-09-26,DHL,DH6085045823,35.79
338,800,2025-09-20,FedEx,FE5819928838,36.12
339,1027,2025-03-21,USPS,US6267460413,41.55
340,1971,2023-10-03,Amazon Logistics,AM1214759279,28.03
341,258,2025-10-25,USPS,US3054567093,18.16
342,966,2025-09-07,DHL,DH9966269675,26.56
343,1876,2025-08-10,DHL,DH5009417978,31.66
344,998,2025-07-05,Amazon Logistics,AM5003521294,49.41
345,564,2025-09-29,FedEx,FE8789492851,11.14
346,1513,2025-09-11,Amazon Logistics,AM8704599167,16.79
347,888,2025-05-06,UPS,UP4394298135,36.03
348,276,2025-10-14,UPS,UP7674824067,26.59
349,1458,2025-04-06,UPS,UP8339541797,12.37
350,1776,2024-08-27,UPS,UP7537228950,45.71
351,429,2025-10-29,OnTrac,ON6561162527,17.46
352,1310,2025-05-13,Amazon Logistics,AM8405370349,31.23
353,1122,2025-10-15,FedEx,FE9060973782,42.07
354,1257,2025-10-12,USPS,US7747456639,38.94
355,309,2025-03-03,Amazon Logistics,AM4186424477,42.92
356,133,2025-10-20,FedEx,FE1616152681,24.85
357,1469,2025-01-14,DHL,DH4601723703,41.9
358,766,2025-09-11,Amazon Logistics,AM3321206093,33.77
359,1158,2025-10-14,UPS,UP2984799299,46.68
360,1897,2025-10-08,Amazon Logistics,AM7567524269,46.22
361,666,2024-08-14,USPS,US4482725370,40.55
362,2000,2024-11-14,FedEx,FE7122278538,39.22
363,404,2025-09-06,Amazon Logistics,AM9568089675,49.19
364,255,2025-10-27,UPS,UP1127495739,28.77
365,888,2025-01-14,DHL,DH9941761270,16.06
366,1258,2025-10-11,Amazon Logistics,AM5637647152,47.54
367,874,2025-10-30,Amazon Logistics,AM4526452373,38.2
368,1545,2024-07-11,OnTrac,ON5747511450,26.06
369,128,2024-11-05,USPS,US2355590047,30.21
370,1073,2024-07-19,DHL,DH3513419649,14.95
371,1984,2024-02-03,USPS,US9974034663,42.31
372,800,2025-06-16,OnTrac,ON4224910465,38.95
373,1187,2023-12-04,OnTrac,ON2367590223,10.69
374,993,2025-10-22,UPS,UP1522001184,30.91
375,1977,2025-06-10,Amazon Logistics,AM1342825256,16.19
376,1359,2024-09-10,FedEx,FE9524474461,18.83
377,1617,2025-01-16,USPS,US2501356239,15.95
378,1075,2024-11-24,UPS,UP3465172825,36.05
379,846,2024-10-13,Amazon Logistics,AM4425670637,43.5
380,1812,2025-09-17,UPS,UP5478433261,19.75
381,333,2025-09-24,USPS,US2980145442,23.02
382,893,2024-10-20,OnTrac,ON7575292711,14.25
383,1913,2024-07-04,DHL,DH2889230693,14.77
384,899,2025-08-04,Amazon Logistics,AM2053753182,20.9
385,1550,2025-08-24,UPS,UP4025007797,33.2
386,1384,2024-06-14,USPS,US2847702690,21.5
387,741,2025-09-26,DHL,DH3858984193,8.87
388,870,2025-10-19,DHL,DH8818607239,15.77
389,1246,2025-10-28,Amazon Logistics,AM6093562307,20.6
390,280,2025-07-15,UPS,UP6926328391,16.07
391,1690,2024-08-05,Amazon Logistics,AM9772845815,11.03
392,1297,2025-01-24,FedEx,FE7320202387,13.18
393,74,2025-09-05,FedEx,FE6919368238,5.21
394,627,2025-10-29,USPS,US5648042822,41.33
395,658,2025-02-09,UPS,UP8228248065,8.44
396,255,2025-09-21,Amazon Logistics,AM9369987994,33.56
397,512,2025-03-23,USPS,US9242240289,23.43
398,669,2024-01-30,UPS,UP9483904304,48.35
399,95,2024-10-07,FedEx,FE3348758451,11.09
400,539,2025-09-25,UPS,UP2134123763,26.9
401,524,2025-07-01,DHL,DH4746768335,16.85
402,662,2025-08-30,OnTrac,ON6457134733,10.22
403,1909,2025-06-15,Amazon Logistics,AM9682739123,23.53
404,115,2025-07-13,DHL,DH7422252188,16.71
405,1911,2025-06-12,OnTrac,ON9605369769,12.82
406,1291,2024-04-21,Amazon Logistics,AM9422071492,10.03
407,1778,2025-10-23,FedEx,FE8588860325,29.19
408,1165,2025-07-27,FedEx,FE8927901031,10.55
409,672,2025-10-26,FedEx,FE9681301374,48.55
410,1403,2025-10-13,Amazon Logistics,AM5231055228,40.5
411,1913,2025-08-08,DHL,DH8820108666,39.9
412,1936,2025-01-29,UPS,UP6167253991,47.62
413,1480,2025-04-25,Amazon Logistics,AM4870392014,27.83
414,513,2025-01-03,Amazon Logistics,AM7313143554,34.34
415,919,2025-01-11,Amazon Logistics,AM2005178800,23.21
416,1930,2025-10-29,DHL,DH2930618401,42.32
417,239,2025-01-30,FedEx,FE4081467801,32.23
418,1558,2025-08-16,UPS,UP2499401504,28.07
419,1601,2025-07-25,DHL,DH5163217597,13.38
420,310,2025-08-02,DHL,DH5867229859,16.9
421,420,2023-07-02,UPS,UP9262785647,8.05
422,429,2025-10-27,FedEx,FE4841584895,32.5
423,1828,2025-09-09,OnTrac,ON6824402929,25.78
424,23,2025-10-28,USPS,US8550388932,7.98
425,151,2025-01-17,OnTrac,ON8259101517,36.03
426,1776,2024-03-25,USPS,US1923810879,17.18
427,1962,2025-09-05,FedEx,FE3762722902,7.68
428,1233,2025-09-07,OnTrac,ON7941206762,9.45
429,1590,2025-06-13,FedEx,FE9384283025,6.27
430,1840,2025-03-22,OnTrac,ON7691648985,11.8
431,983,2024-03-23,USPS,US7761722734,14.21
432,443,2023-11-09,USPS,US1619132743,18.03
433,669,2024-01-24,OnTrac,ON1919058248,23.86
434,260,2025-08-15,Amazon Logistics,AM1221696347,13.66
435,970,2023-08-14,Amazon Logistics,AM2853798776,35.94
436,541,2025-10-16,UPS,UP3039641939,11.72
437,1003,2025-04-09,DHL,DH1729436734,47.04
438,374,2025-10-30,UPS,UP9726503947,20.08
439,1990,2025-08-03,FedEx,FE8742054983,37.46
440,176,2025-10-26,Amazon Logistics,AM2547867435,23.42
441,1381,2024-03-08,Amazon Logistics,AM1133905373,20.25
442,1218,2025-06-06,Amazon Logistics,AM2344275311,7.7
443,1267,2024-08-16,FedEx,FE5881494441,47.99
444,1417,2025-09-21,UPS,UP2981675903,32.69
445,225,2024-11-03,FedEx,FE9738571759,25.32
446,406,2025-08-07,UPS,UP1468826081,29.32
447,963,2025-02-16,Amazon Logistics,AM9767129684,27.92
448,192,2024-10-07,OnTrac,ON6969349809,11.41
449,295,2025-10-28,UPS,UP6385398600,44.16
450,1788,2023-03-26,USPS,US8488196081,40.66
451,1269,2025-07-15,UPS,UP3445895492,29.62
452,174,2025-06-23,DHL,DH4583010298,25.47
453,783,2025-07-14,FedEx,FE2748319358,49.25
454,355,2025-07-02,FedEx,FE8557322555,18.19
455,1976,2025-07-16,FedEx,FE6083811608,11.49
456,1619,2024-09-12,DHL,DH1066128567,20.4
457,539,2025-09-20,Amazon Logistics,AM1353399228,47.95
458,1664,2025-04-20,OnTrac,ON9663024857,17.22
459,1875,2024-05-25,DHL,DH6069326399,32.77
460,524,2025-04-09,OnTrac,ON6079363850,33.87
461,910,2025-10-27,USPS,US1405330575,46.53
462,1201,2025-08-01,DHL,DH9928819570,25.95
463,769,2025-10-25,OnTrac,ON3393118718,48.67
464,1687,2025-01-08,FedEx,FE8267264164,31.3
465,905,2025-02-28,UPS,UP2641815384,10.91
466,257,2025-01-15,Amazon Logistics,AM3866524924,19.39
467,1367,2025-08-03,Amazon Logistics,AM1390493265,41.24
468,1375,2025-09-23,DHL,DH8314839086,37.96
469,1365,2025-06-09,DHL,DH6391469277,30.02
470,1986,2024-11-07,Amazon Logistics,AM8191770328,10.71
471,1185,2025-07-16,DHL,DH5291218965,45.85
472,1279,2025-08-06,Amazon Logistics,AM6451319739,25.53
473,56,2025-05-12,Amazon Logistics,AM4217795669,24.72
474,1651,2025-10-21,Amazon Logistics,AM5193698972,48.95
475,272,2025-07-20,Amazon Logistics,AM5434678290,18.12
476,1425,2025-10-28,FedEx,FE5663278049,18.53
477,132,2025-07-30,DHL,DH5185382543,22.69
478,1840,2024-11-21,OnTrac,ON6284790737,29.31
479,1302,2024-09-15,DHL,DH6456408149,47.5
480,101,2025-10-29,Amazon Logistics,AM1677403680,15.08
481,1353,2025-08-22,DHL,DH6663176952,24.43
482,365,2025-09-02,OnTrac,ON4675130367,12.57
483,420,2025-01-14,FedEx,FE5357436824,45.62
484,7,2024-12-30,FedEx,FE4270027008,5.09
485,50,2025-10-17,UPS,UP2618787635,40.7
486,1879,2023-05-11,OnTrac,ON9564439379,25.4
487,1487,2025-08-19,UPS,UP3629320728,5.15
488,1330,2025-06-18,Amazon Logistics,AM1386466710,16.35
489,1018,2025-10-30,UPS,UP9689331536,47.97
490,237,2025-08-03,DHL,DH2009733703,35.85
491,504,2025-06-05,DHL,DH8416359231,38.3
492,1545,2024-09-19,UPS,UP2667326002,29.38
493,1850,2025-02-28,USPS,US5084320126,47.43
494,1392,2025-08-03,DHL,DH6403125657,16.02
495,132,2025-09-17,UPS,UP7507090175,35.79
496,627,2025-10-15,DHL,DH4586437898,47.89
497,206,2025-07-27,UPS,UP5660739440,9.16
498,1512,2025-06-08,Amazon Logistics,AM8068493009,36.24
499,853,2025-10-24,Amazon Logistics,AM8751796907,11.75
500,47,2025-07-15,FedEx,FE8026231388,41.22
501,1664,2023-09-04,UPS,UP5588801414,14.16
502,1931,2024-07-07,FedEx,FE6487826121,23.5
